544.88	6716.78
544.78	6808.1
544.68	6736.12
544.58	6684.11
544.48	6560.29
544.38	6535.91
544.28	6538.62
544.18	6699.38
544.08	6444.49
543.98	6507.51
543.88	6422.99
543.78	6438.41
543.68	6458.13
543.58	6438.22
543.48	6343.96
543.38	6499.13
543.28	6385.46
543.18	6504.53
543.08	6514.18
542.98	6350.8
542.88	6333.49
542.78	6511.85
542.68	6363.8
542.58	6415.52
542.48	6392.04
542.38	6475.73
542.28	6523.75
542.18	6311.01
542.08	6229.9
541.98	6376.41
541.88	6346.31
541.78	6412.45
541.68	6405.17
541.58	6375.51
541.48	6151.48
541.38	6425.18
541.28	6253.55
541.18	6333.46
541.08	6376.62
540.98	6291.03
540.88	6307.15
540.78	6354.76
540.68	6287.4
540.58	6428.39
540.48	6239.43
540.38	6252.34
540.28	6376.92
540.18	6056.41
540.08	6158.78
539.98	6141.29
539.88	6102.7
539.78	6239.86
539.68	6438.16
539.58	6444.69
539.48	6109.11
539.38	6133.87
539.28	6236.53
539.18	6039.68
539.08	6163.96
538.98	6117.04
538.88	6228.76
538.78	6171.67
538.68	5926.69
538.58	5859.49
538.48	6006.75
538.38	5986.53
538.28	6130.74
538.18	6084.07
538.08	5825.83
537.98	6042.89
537.88	6024.37
537.78	6198.51
537.68	6136.95
537.58	6188.45
537.48	5928.97
537.38	5996
537.28	5842.73
537.18	6077.15
537.08	6020.22
536.98	6145.33
536.88	6163.91
536.78	6024.6
536.68	6190.06
536.58	6061.53
536.48	6120.7
536.38	6046.24
536.28	6030.74
536.18	5936.02
536.08	6032.08
535.98	6002.2
535.88	6107.86
535.78	6079.62
535.68	6126.35
535.58	6139.19
535.48	6052.14
535.38	6187.38
535.28	6319.88
535.18	6200.05
535.08	6174.77
534.98	6444.66
534.88	6343.44
534.78	6649.98
534.68	6924.85
534.58	7035.16
534.48	7305.29
534.38	7608.98
534.28	7761.73
534.18	8387.79
534.08	8773.5
533.98	9253.46
533.88	9466.08
533.78	10158.7
533.68	10944.1
533.58	11057
533.48	11669.8
533.38	12106.4
533.28	12678
533.18	13037.3
533.08	13514.2
532.98	13690.8
532.88	14001.9
532.78	14298.1
532.68	14722.5
532.58	15113
532.48	15341.3
532.38	15430.5
532.28	15572.5
532.18	15756.5
532.08	15865.2
531.98	15455.3
531.88	15432.4
531.78	15027.6
531.68	14580.7
531.58	13691.5
531.48	12899.1
531.38	12139.4
531.28	11369.1
531.18	10625.2
531.08	9815.76
530.98	9071.73
530.88	8539.12
530.78	8187.09
530.68	7790.32
530.58	7465.93
530.48	7343.98
530.38	7076.63
530.28	6748.34
530.18	6644.6
530.08	6407.11
529.98	6444.47
529.88	6293.8
529.78	6323.23
529.68	6292.79
529.58	6099.23
529.48	6174.06
529.38	6027
529.28	6332.63
529.18	6191.11
529.08	5973.6
528.98	6079.89
528.88	5956.54
528.78	5936.68
528.68	6128.52
528.58	5953.56
528.48	6028.02
528.38	6077.6
528.28	6230.11
528.18	6070.11
528.08	5943.33
527.98	6042.2
527.88	6052.16
527.78	5985.14
527.68	5882.54
527.58	6051.29
527.48	6070.31
527.38	5987.83
527.28	6000.32
527.18	5902.02
527.08	5873.95
526.98	5874.27
526.88	5843.45
526.78	5938.68
526.68	6119.79
526.58	5987.77
526.48	5871.98
526.38	6044.32
526.28	6013.76
526.18	5924.63
526.08	5980.68
525.98	5911.61
525.88	5753.8
525.78	5668.07
525.68	5951.97
525.58	5929.76
525.48	5804.21
525.38	5650.03
525.28	5930.57
525.18	5980.22
525.08	6075.14
